#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Heterorhabditis indica	51550	PRJNA720543	720543	Animals	Roundworms	67.5681	28.2	GCA_020740425.3	mitochondrion MT:CM041029.1	JAJAVP01	1001	-	-	4/11/2021	21/4/2022	Scaffold	"ICAR-IARI, New Delhi, INDIA"	SAMN18671197
Halteria grandinella	5974	PRJNA448784	448784	Protists	Other Protists	64.0495	43.1	GCA_006369765.1	-	RRYP01	40422	17815	17815	17/6/2019	17/6/2019	Scaffold	"Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao 266003, China"	SAMN10502181
Stentor roeselii	1703786	PRJNA507905	507905	Protists	Other Protists	45.543	34.6	GCA_006503475.1	-	RSEH01	794	-	-	28/6/2019	28/6/2019	Scaffold	"Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao 266003, China"	SAMN10516355
Diophrys appendiculata	132687	PRJNA507686	507686	Protists	Other Protists	67.2682	34	GCA_006510565.1	-	RRYO01	45710	-	-	28/6/2019	28/6/2019	Scaffold	"Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao 266003, China"	SAMN10502143
Pseudokeronopsis carnea	385029	PRJNA507672	507672	Protists	Other Protists	76.7708	41.7	GCA_006510595.1	-	RRYN01	37909	-	-	28/6/2019	28/6/2019	Scaffold	"Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao 266003, China"	SAMN10502116
Giardia muris	5742	PRJNA524057	524057	Protists	Other Protists	9.77792	54.7067	GCA_006247105.1	chromosome 1:CM016925.1; chromosome 2:CM016926.1; chromosome 3:CM016927.1; chromosome 4:CM016928.1; chromosome 5:CM016929.1	VDLU01	59	5229	4660	11/6/2019	3/7/2019	Chromosome	Uppsala University	SAMN11231833
Trichomonas tenax	43075	PRJNA797354	797354	Protists	Other Protists	63.3787	33.7	GCA_023091735.1	-	JALKBU01	4904	-	-	22/4/2022	22/4/2022	Contig	Ross University School of Veterinary Medicine	SAMN25001360
Cryptosporidium tyzzeri	756076	PRJNA388495	388495	Protists	Apicomplexans	9.01571	30	GCA_007210665.1	-	PYHZ01	11	4023	3979	22/7/2019	22/7/2019	Scaffold	University of Georgia	SAMN07237478
Caenorhabditis inopinata	1978547	PRJDB5687	382947	Animals	Roundworms	122.994	38.4997	GCA_003052745.1	chromosome 1:AP018151.1; chromosome 2:AP018152.1; chromosome 3:AP018153.1; chromosome 4:AP018154.1; chromosome 5:AP018155.1; chromosome X:AP018156.1	-	6	-	-	22/6/2017	22/6/2017	Chromosome	University of Miyazaki	SAMD00080818
Phytophthora citricola	53984	PRJNA555328	555328	Protists	Other Protists	50.3242	51.9	GCA_007655245.1	-	VMRO01	118	-	-	30/7/2019	30/7/2019	Contig	"Contact; Gloria Abad Z, USDA-APHIS-PPQ-S&T"	SAMN12308235
Panagrolaimus sp. LJ2400	2950585	PRJNA845886	845886	Animals	Roundworms	182.164	30.3	GCA_024447215.1	-	JAMRYA01	214	-	-	26/7/2022	26/7/2022	Contig	Seoul National University	SAMN28864278
Panagrolaimus superbus	310955	PRJEB32708	556175	Animals	Roundworms	76.6648	31.4	GCA_901766145.1	-	CABFKN01	53192	-	-	30/7/2019	30/7/2019	Scaffold	UNIVERSITY COLLEGE LONDON	SAMEA5663852
Panagrolaimus davidi	227884	PRJEB32708	556175	Animals	Roundworms	118.053	27.8	GCA_901779475.1	-	CABFKP01	39598	-	-	30/7/2019	30/7/2019	Scaffold	UNIVERSITY COLLEGE LONDON	SAMEA5664307
Lenisia limosa	1653305	PRJNA277740	277740	Protists	Other Protists	48.9968	39.1	GCA_001655205.1	-	LPNZ01	11727	-	-	3/6/2016	3/6/2016	Scaffold	University of Calgary	SAMN03396259
Poteriospumella lacustris	1117027	PRJNA504603	504603	Protists	Other Protists	54.713	26.2	GCA_008000375.1	-	SMOI01	9399	-	-	15/8/2019	15/8/2019	Scaffold	University Duisburg-Essen	SAMEA3936182
Symbiodinium sp. clade C Y103	1563116	PRJDB3243	474286	Protists	Other Protists	703.699	42.8	GCA_003297045.1	-	BGPT01	6576	-	-	22/6/2018	22/6/2018	Scaffold	Okinawa Institute of Science and Technology	SAMD00020953
[Pythium] brassicae (nom. inval.)	1485010	PRJNA498716	498716	Protists	Other Protists	50.0694	59.2	GCA_008271595.1	-	SMMQ01	4434	13219	13005	4/9/2019	4/9/2019	Scaffold	Utah State University	SAMN10332717
Trichomonas gallinae	56777	PRJNA353309	353309	Protists	Other Protists	54.794	33.8	GCA_008369845.1	-	MRSU01	11703	-	-	11/9/2019	11/9/2019	Contig	TGnet	SAMN06066896
Phytophthora melonis	120023	PRJNA847706	847706	Protists	Other Protists	105.001	54.9	GCA_024211575.1	-	JAMXKT01	94	-	-	11/7/2022	11/7/2022	Contig	Zhejiang Academy of Agricultural Sciences	SAMN28951452
Streblomastix strix	222440	PRJNA524138	524138	Protists	Other Protists	152.152	26.6	GCA_008636045.1	-	SNRW01	50889	56706	56706	23/9/2019	11/2/2021	Scaffold	"Faculty of Science, Charles University"	SAMN10998475
Leishmania adleri	5674	PRJEB33887	575472	Protists	Kinetoplasts	0.019219	21.8	GCA_902369305.1	chromosome 1:LR697136.1	-	1	-	-	3/10/2019	3/10/2019	Chromosome	Centro Biologia Molecular Severo Ochoa (CBMSO)	SAMEA5854542
Halicephalobus mephisto	2559892	PRJNA528747	528747	Animals	Roundworms	61.4224	32.1	GCA_009193035.1	-	SWDT01	877	-	-	21/10/2019	21/10/2019	Scaffold	American University	SAMN11243130
Fonticula-like sp. SCN 57-25	1660239	PRJNA279279	279279	Protists	Other Protists	9.51461	56.7	GCA_001724245.1	-	MEDX01	749	-	-	13/9/2016	13/9/2016	Scaffold	"Banfield Lab, University of California, Berkeley"	SAMN03652443
Chrysochromulina tobinii	1460289	PRJNA263501	263501	Protists	Other Protists	59.0731	63.4	GCA_001275005.1	-	JWZX01	3412	16754	16765	26/8/2015	26/8/2015	Contig	University of Washington	SAMN03102970
Caenorhabditis bovis	2654633	PRJEB34497	590922	Animals	Roundworms	62.7263	38.1	GCA_902829315.1	-	CADEPM01	35	13127	15174	15/4/2020	15/4/2020	Contig	"Nematode and Neglected Genomics, IEB, University of Edinburgh"	SAMEA6107890
Sparganum proliferum	64606	PRJEB35374	590443	Animals	Flatworms	653.387	41.8	GCA_902702955.1	-	CACRXO01	7388	22739	22427	22/11/2019	22/11/2019	Scaffold	University of Miyazaki	SAMEA6224978
Halicephalobus sp. NKZ332	2598192	PRJNA555616	555616	Animals	Roundworms	47.4384	36.8	GCA_009761265.1	-	VOSG01	5084	10997	10997	17/12/2019	17/12/2019	Scaffold	Indiana University	SAMN12324525
Symbiodinium kawagutii	104179	PRJNA556154	556154	Protists	Other Protists	935.067	44	GCA_009767595.1	-	VSDK01	30040	-	-	18/12/2019	18/12/2019	Scaffold	Xiamen university	SAMN02716926
Cryptosporidium bovis	310047	PRJNA545579	545579	Protists	Apicomplexans	9.11117	30.7	GCA_009768925.2	-	VHIT02	55	3723	3723	19/12/2019	10/11/2021	Scaffold	South China Agricultural University	SAMN11927534
Cryptosporidium ryanae	515981	PRJNA545588	545588	Protists	Apicomplexans	9.05934	32.9	GCA_009792415.2	-	VHLK02	93	3711	3711	23/12/2019	6/1/2022	Scaffold	South China Agricultural University	SAMN11927535
Meloidogyne luci	1585531	PRJEB27977	594127	Animals	Roundworms	209.155	30.2	GCA_902706615.1	-	CACSLI01	327	-	-	12/12/2019	12/12/2019	Contig	Wellcome Sanger Institute	SAMEA5770813
Albugo laibachii	653948	PRJEB2361	203897	Protists	Other Protists	32.7668	44.3	GCA_902706625.1	-	CACSLJ01	3827	-	-	12/12/2019	12/12/2019	Scaffold	The John Innes Centre	SAMEA783992
Strombidium stylifer	356896	PRJNA599298	599298	Protists	Other Protists	70.9627	46.3	GCA_010577775.2	-	WWNT02	29989	-	-	13/2/2020	2/3/2021	Scaffold	Ocean University of China	SAMN13743074
Phytophthora betacei	2714593	PRJNA608953	608953	Protists	Other Protists	270.894	51.1	GCA_011320135.1	-	JAANHX01	802	-	-	16/3/2020	16/3/2020	Contig	Universidad de los Andes	SAMN14214885
Peronospora destructor	86335	PRJNA560740	560740	Protists	Other Protists	29.3348	48.5	GCA_011800735.1	-	WBRY01	74	-	-	31/3/2020	31/3/2020	Contig	"National Institute of Agricultural Sciences, RDA"	SAMN12605984
Hepatocystis sp. ex Piliocolobus tephrosceles	2600580	PRJEB32891	594576	Protists	Apicomplexans	19.9825	21.9913	GCA_902459845.2	mitochondrion MIT:LR699572.1; apicoplast API:LR699571.1	CABPSV02	2441	5467	5341	12/12/2019	12/12/2019	Scaffold	"Wellcome Trust Sanger Institute, Wellcome Genome Campus"	SAMEA5861419
Phytophthora boehmeriae	109152	PRJNA612532	612532	Protists	Other Protists	52.0855	51.5	GCA_011947355.1	-	JAAVTJ01	414	-	-	3/4/2020	3/4/2020	Contig	"Contact; Gloria.Abad@aphis.usda.gov, USDA-APHIS-PPQ-S&T"	SAMN14367973
Phytophthora constricta	929565	PRJNA612532	612532	Protists	Other Protists	84.7162	52.1	GCA_011947335.1	-	JAAVTI01	1595	-	-	3/4/2020	3/4/2020	Contig	"Contact; Gloria.Abad@aphis.usda.gov, USDA-APHIS-PPQ-S&T"	SAMN14367974
Phytophthora macrochlamydospora	67591	PRJNA612532	612532	Protists	Other Protists	69.8526	53.8	GCA_011947325.1	-	JAAVTH01	835	-	-	3/4/2020	3/4/2020	Contig	"Contact; Gloria.Abad@aphis.usda.gov, USDA-APHIS-PPQ-S&T"	SAMN14367975
Phytophthora quininea	134455	PRJNA612532	612532	Protists	Other Protists	87.6499	53.4	GCA_011947345.1	-	JAAVTG01	1048	-	-	3/4/2020	3/4/2020	Contig	"Contact; Gloria.Abad@aphis.usda.gov, USDA-APHIS-PPQ-S&T"	SAMN14367976
Gyrodactylus bullatarudis	82660	PRJNA532341	532341	Animals	Flatworms	84.3469	30.9	GCA_012064415.1	-	SSNU01	4331	-	-	6/4/2020	6/4/2020	Scaffold	Adam Mickiewicz University	SAMN11397403
Phytophthora pseudosyringae	221518	PRJNA702035	702035	Protists	Other Protists	48.9442	54.5	GCA_019155715.1	-	JAGDFM01	2772	15624	15384	7/7/2021	7/7/2021	Scaffold	University of St Andrews	SAMN17922341
Phytophthora gonapodyides	78237	PRJNA599567	599567	Protists	Other Protists	61.1324	23.7	GCA_012295475.1	mitochondrion MT:CM022728.1	JAABLL01	16450	-	-	14/4/2020	19/8/2020	Scaffold	Maynooth University	SAMN13759514
Phytophthora chlamydospora	1692154	PRJNA599565	599565	Protists	Other Protists	45.3033	55.572	GCA_012295415.1	mitochondrion MT:CM022726.1	JAABLK01	4078	-	-	14/4/2020	19/8/2020	Scaffold	Maynooth University	SAMN13759513
Phytophthora hibernalis	175300	PRJNA605765	605765	Protists	Other Protists	84.5086	51.7	GCA_012656075.1	-	JAAKBF01	404	-	-	22/4/2020	22/4/2020	Contig	"Contact; Gloria.Abad@aphis.usda.gov, USDA-APHIS-PPQ-S&T"	SAMN14078571
Phytophthora syringae	67594	PRJNA605765	605765	Protists	Other Protists	74.9346	52.4	GCA_012656105.1	-	JAAKBD01	589	-	-	22/4/2020	22/4/2020	Scaffold	"Contact; Gloria.Abad@aphis.usda.gov, USDA-APHIS-PPQ-S&T"	SAMN14078573
Thraustochytrium aureum	42467	PRJDB9722	628050	Protists	Other Protists	35.1039	53.7	GCA_012862495.1	-	BLSG01	463	-	-	24/4/2020	24/4/2020	Scaffold	"Marine Resource Chemistry, Graduate School of Bioresource and Bioenvironmental Sciences, Department of Bioscience and Biotechnology, Kyushu University"	SAMD00220726
Parietichytrium sp. I65-24A	2728823	PRJDB9723	628051	Protists	Other Protists	43.3722	50.8	GCA_012862575.1	-	BLSF01	360	-	-	24/4/2020	24/4/2020	Scaffold	"Marine Resource Chemistry, Graduate School of Bioresource and Bioenvironmental Sciences, Department of Bioscience and Biotechnology, Kyushu University"	SAMD00220879
Willaertia magna	51641	PRJEB30797	596969	Protists	Other Protists	36.4769	24.8	GCA_902984215.1	-	CADWAF01	5842	-	-	6/5/2020	6/5/2020	Contig	"Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France"	SAMEA5228750
Perkinsus olseni	32597	PRJNA554963	554963	Protists	Other Protists	63.1003	51.5	GCA_013115135.1	-	JABANP01	1358	17342	15639	18/5/2020	18/5/2020	Scaffold	NSW Department of Primary Industries	SAMN12288125
Perkinsus chesapeaki	330153	PRJNA554964	554964	Protists	Other Protists	41.6842	46.5	GCA_013115145.1	-	JAAPAO01	3544	11394	10986	18/5/2020	14/7/2021	Scaffold	NSW Department of Primary Industries	SAMN12289079
Litomosoides brasiliensis	221926	PRJNA593581	593581	Animals	Roundworms	65.2025	31.7	GCA_013365375.1	-	JABVXW01	1026	-	-	22/6/2020	22/6/2020	Scaffold	New England Biolabs	SAMN15190311
Cruorifilaria tuberocauda	1766051	PRJNA593581	593581	Animals	Roundworms	75.5166	29.7	GCA_013365365.1	-	JABVXU01	1887	-	-	22/6/2020	22/6/2020	Contig	New England Biolabs	SAMN15190313
Dipetalonema caudispina	1766039	PRJNA593581	593581	Animals	Roundworms	81.5854	30.4	GCA_013365325.1	-	JABVXV01	2614	-	-	22/6/2020	22/6/2020	Scaffold	New England Biolabs	SAMN15190312
Madathamugadia hiepei	1240987	PRJNA593581	593581	Animals	Roundworms	77.7018	33.6	GCA_013365335.1	-	JABVXS01	13165	-	-	22/6/2020	22/6/2020	Scaffold	New England Biolabs	SAMN15190315
Dictyostelium rosarium	306026	PRJNA639678	639678	Protists	Other Protists	56.7173	40.3	GCA_013375675.1	-	JABXOD01	49260	-	-	29/6/2020	29/6/2020	Scaffold	University of Dundee	SAMN15246244
Dictyostelium brefeldianum	361069	PRJNA635606	635606	Protists	Other Protists	37.1262	28.5	GCA_013375695.1	-	JABXES01	19448	-	-	29/6/2020	29/6/2020	Scaffold	University of Dundee	SAMN15046137
Atriophallophorus winterbourni	2682772	PRJNA636673	636673	Animals	Flatworms	601.729	40.6	GCA_013407085.1	-	JACCGJ01	26114	-	-	13/7/2020	13/7/2020	Scaffold	Swiss Federal Institute of Technology in Zurich	SAMN15082119
Pseudokeronopsis flava	311387	PRJNA534036	534036	Protists	Other Protists	52.5195	40.4	GCA_013420745.1	-	SWAP01	37545	-	-	16/7/2020	16/7/2020	Scaffold	"Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao 266003, China"	SAMN11475838
Steinernema diaprepesi	193536	PRJNA605202	605202	Animals	Roundworms	118.236	45	GCA_013436035.1	-	JAANPW01	35417	-	-	21/7/2020	21/7/2020	Contig	University of Florida	SAMN14073714
Paragonimus kellicotti	100269	PRJNA179523	179523	Animals	Flatworms	696.536	38	GCA_014220965.1	-	LOND01	29377	13309	12850	17/8/2020	17/8/2020	Scaffold	The Genome Institute	SAMN03863379
Paragonimus skrjabini miyazakii	59628	PRJNA245325	245325	Animals	Flatworms	915.81	38.5	GCA_014338405.1	-	JTDE01	22318	13918	12650	31/8/2020	31/8/2020	Scaffold	The Genome Institute	SAMN03154469
Allodiplogaster sudhausi	2761625	PRJEB48369	861608	Animals	Roundworms	352.147	42.5	GCA_945643635.1	-	CALZFC01	396	-	-	23/7/2022	24/7/2022	Contig	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY	SAMEA110262330
Bursaphelenchus okinawaensis	465554	PRJEB40023	659699	Animals	Roundworms	69.9563	36.2	GCA_904066225.2	-	CAJFCW02	7	14593	14544	1/9/2020	27/6/2022	Scaffold	University of Miyazaki	SAMEA7232844
Cryptosporidium felis	83540	PRJNA640950	640950	Protists	Apicomplexans	8.55063	39.6	GCA_014529505.1	-	JABXOJ01	133	3775	3775	11/9/2020	11/9/2020	Scaffold	South China Agricultural University	SAMN15338458
Schmidingerella arcuata	1229734	PRJNA829814	829814	Protists	Other Protists	48.3687	43.8	GCA_023658695.1	-	JAMFLK01	7023	-	-	7/6/2022	7/6/2022	Contig	University of Connecticut	SAMN27682952
Phytophthora quercina	78236	PRJNA640137	640137	Protists	Other Protists	71.7187	50.8	GCA_014706105.1	-	JACBOW01	100	-	-	23/9/2020	23/9/2020	Contig	United States Department of Agriculture	SAMN15299829
Phytophthora castanetorum	1985165	PRJNA640137	640137	Protists	Other Protists	69.7637	50.7	GCA_014706115.1	-	JACBOV01	92	-	-	23/9/2020	23/9/2020	Contig	United States Department of Agriculture	SAMN15299697
Phytophthora ohioensis (nom. inval.)	508680	PRJNA640137	640137	Protists	Other Protists	74.0015	51	GCA_014706125.1	-	JACBOX01	183	-	-	23/9/2020	23/9/2020	Contig	United States Department of Agriculture	SAMN15299825
Phytophthora tubulina	1985166	PRJNA640137	640137	Protists	Other Protists	76.8397	50.6	GCA_014706135.1	-	JACBOY01	296	-	-	23/9/2020	23/9/2020	Contig	United States Department of Agriculture	SAMN15299832
Phytophthora versiformis	1833877	PRJNA640137	640137	Protists	Other Protists	116.939	52	GCA_014706215.1	-	JACBOZ01	171	-	-	23/9/2020	23/9/2020	Contig	United States Department of Agriculture	SAMN15299845
Levipalatum texanum	1486449	PRJNA655932	655932	Animals	Roundworms	154.91	46.8	GCA_014805385.1	-	JACMIG01	27523	-	-	30/9/2020	30/9/2020	Scaffold	Indiana University	SAMN15760645
Koerneria luziae	912562	PRJNA655932	655932	Animals	Roundworms	177.334	41.3	GCA_014805365.1	-	JACMIJ01	83332	-	-	30/9/2020	30/9/2020	Scaffold	Indiana University	SAMN15760648
Diplogasteroides magnus	560213	PRJNA655932	655932	Animals	Roundworms	214.223	41.9	GCA_014805445.1	-	JACMIF01	36774	-	-	30/9/2020	30/9/2020	Scaffold	Indiana University	SAMN15760644
Dinobryon sp. LO226KS	1825119	PRJNA546545	546545	Protists	Other Protists	87.4954	26.2	GCA_015143705.1	-	VKHD01	50357	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMEA3936187
Synura sp. LO234KE	1825120	PRJNA546545	546545	Protists	Other Protists	116.233	27.7	GCA_015143735.1	-	VKHC01	77333	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMEA3936188
Epipyxis sp. PR26KG	1825121	PRJNA546545	546545	Protists	Other Protists	57.5339	33.4	GCA_015144975.1	-	VKHH01	15298	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMEA3936189
Mallomonas annulata	52548	PRJNA546545	546545	Protists	Other Protists	108.46	40.1	GCA_015143345.1	-	VKHB01	42926	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMN11878046
Spumella vulgaris	1117031	PRJNA546545	546545	Protists	Other Protists	89.6184	48	GCA_015148565.1	-	VKHM01	53624	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMEA3936184
Chromulinospumella sphaerica	1841616	PRJNA546545	546545	Protists	Other Protists	82.045	51.3	GCA_015144965.1	-	VKHF01	35399	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMN11906411
Poterioochromonas sp. DS	519425	PRJNA546545	546545	Protists	Other Protists	57.5586	26.1	GCA_015145745.1	-	VKHI01	16959	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMEA3936180
Dinobryon divergens	457357	PRJNA546545	546545	Protists	Other Protists	113.368	45.1	GCA_015146095.1	-	VKHG01	77178	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMN11878047
Spumella sp. AR4D6	703971	PRJNA546545	546545	Protists	Other Protists	69.7984	51.7	GCA_015146115.1	-	VKHK01	46082	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMEA3936181
Chromulina nebulosa	96789	PRJNA546545	546545	Protists	Other Protists	110.815	19.7	GCA_015148605.1	-	VKHJ01	78822	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMN11878048
Pedospumella encystans	1117030	PRJNA546545	546545	Protists	Other Protists	61.2031	51.4	GCA_015143685.1	-	VKHE01	29064	-	-	30/10/2020	30/10/2020	Scaffold	University Duisburg-Essen	SAMEA3936183
Labyrinthula sp. Ha	2710872	PRJNA607370	607370	Protists	Other Protists	50.9481	34.3	GCA_015227615.1	-	JAALGZ01	159	-	-	4/11/2020	3/5/2021	Contig	Deakin University	SAMN14131006
Dictyostelium capitatum	361071	PRJNA638827	638827	Protists	Other Protists	46.7307	32	GCA_015252635.1	-	JACAFY01	21900	-	-	6/11/2020	6/11/2020	Scaffold	University of Dundee	SAMN15214049
Dictyostelium gargantuum	882403	PRJNA639417	639417	Protists	Other Protists	43.1565	31.6	GCA_015252675.1	-	JACAFZ01	38619	-	-	6/11/2020	6/11/2020	Scaffold	University of Dundee	SAMN15236370
Cardiosporidium cionae	476202	PRJNA664590	664590	Protists	Apicomplexans	57.0316	34.3959	GCA_015476325.1	apicoplast Pltd:CM027049.1	JADAQX01	2204	4707	4566	15/11/2020	16/11/2020	Contig	University of Rhode Island	SAMN16226513
Diacronema lutheri	2081491	PRJNA725470	725470	Protists	Other Protists	43.5027	73.3	GCA_019448385.1	-	JAGTXO01	103	14446	14446	4/8/2021	4/8/2021	Contig	Nord University	SAMN18879650
Vickermania ingenoplastis	2720891	PRJNA549176	549176	Protists	Kinetoplasts	35.3003	53.8	GCA_010157825.1	-	VFSE01	340	-	-	4/2/2020	4/2/2020	Contig	"Instituto Oswaldo Cruz - Fundacao Oswaldo Cruz, Rio de Janeiro, Brasil"	SAMN12076760
Phytophthora vignae f. sp. vignae	2501433	PRJNA626502	626502	Protists	Other Protists	84.5295	54.9	GCA_016169955.1	-	JABJUM01	227	-	-	21/12/2020	21/12/2020	Contig	Crop Sciences of CAAS	SAMN14648089
Hoplolaimus galeatus	211160	PRJNA659265	659265	Animals	Roundworms	13.243	45.1	GCA_016432905.1	-	JAEHOL01	1563	-	-	29/12/2020	29/12/2020	Contig	Clemson University	SAMN15902603
Hoplolaimus columbus	312701	PRJNA659263	659263	Animals	Roundworms	46.9414	41.7	GCA_016433075.1	-	JAEHOM01	5944	-	-	29/12/2020	29/12/2020	Contig	Clemson University	SAMN15902582
Benedenia humboldti	2730667	PRJNA683713	683713	Animals	Flatworms	2.15007	33.6583	GCA_016432935.1	mitochondrion MT:CM028216.1	JAEDOY01	1080	-	-	29/12/2020	6/1/2021	Contig	Clemson University	SAMN17035732
Steinernema khuongi	2781566	PRJNA670677	670677	Animals	Roundworms	81.7639	47.9	GCA_016648015.1	-	JADLIF01	8783	-	-	15/1/2021	15/1/2021	Contig	University of Florida	SAMN16516735
Paramecium bursaria	74790	PRJNA556774	556774	Protists	Other Protists	26.8203	28.8	GCA_016759055.1	-	VMTU01	515	-	-	25/1/2021	29/1/2021	Contig	Academia Sinica	SAMN12325316
Neovahlkampfia damariscottae	166956	PRJNA549687	549687	Protists	Other Protists	21.6834	27.4	GCA_016618085.1	-	JABLTG01	1621	-	-	12/1/2021	12/1/2021	Scaffold	University of Ostrava	SAMN12096216
Phytophthora idaei	53986	PRJNA391273	391273	Protists	Other Protists	60.47	51	GCA_016880985.1	-	QOKR01	4720	24852	25409	12/2/2021	12/2/2021	Scaffold	NIAB-East Malling Research	SAMN07267867
Acanthamoeba triangularis	146752	PRJEB36491	699786	Protists	Other Protists	66.4284	58.6	GCA_902749335.1	-	CACVKS01	13926	-	-	13/2/2021	13/2/2021	Contig	"Unite de Recherche sur les Maladies Infectieuses et Tropicales Emergentes (URMITE) CNRS, Faculte de Medecine, Universite de la Mediterranee, Marseille, France"	SAMEA6511205
Symbiodinium natans	878477	PRJEB34894	629173	Protists	Other Protists	761.62	51.8	GCA_905221605.1	-	CAJNDS01	2855	35270	35270	18/2/2021	18/2/2021	Scaffold	"Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, University of Queensland"	SAMEA7230740
Symbiodinium necroappetens	1628268	PRJEB34894	629173	Protists	Other Protists	767.953	50.6	GCA_905231915.1	-	CAJNJA01	104583	-	-	18/2/2021	18/2/2021	Scaffold	"Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, University of Queensland"	SAMEA6359004
Symbiodinium pilosum	2952	PRJEB34894	629173	Protists	Other Protists	1089.42	47.8	GCA_905231905.1	-	CAJNIZ01	48302	23437	23436	18/2/2021	18/2/2021	Scaffold	"Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, University of Queensland"	SAMEA6359027
Monocercomonoides exilis	2049356	PRJNA304271	304271	Protists	Other Protists	82.3011	37.2	GCA_001643675.2	-	LSRY02	101	18152	18152	13/5/2016	22/11/2021	Contig	Charles University in Prague	SAMN04297179
Tribonema minus	303371	PRJNA692219	692219	Protists	Other Protists	158.345	57	GCA_017506865.1	-	JAFCMP01	557	18441	18284	22/3/2021	22/3/2021	Contig	Sandia National Lab	SAMN17316835
Leishmania martiniquensis	1580590	PRJNA691531	691531	Protists	Kinetoplasts	32.4137	59.8521	GCA_017916325.1	chromosome 1:CM030396.1; chromosome 2:CM030397.1; chromosome 3:CM030398.1; chromosome 4:CM030399.1; chromosome 5:CM030400.1; chromosome 6:CM030401.1; chromosome 7:CM030402.1; chromosome 8:CM030403.1; chromosome 9:CM030404.1; chromosome 10:CM030405.1; chromosome 11:CM030406.1; chromosome 12:CM030407.1; chromosome 13:CM030408.1; chromosome 14:CM030409.1; chromosome 15:CM030410.1; chromosome 16:CM030411.1; chromosome 17:CM030412.1; chromosome 18:CM030413.1; chromosome 19:CM030414.1; chromosome 20:CM030415.1; chromosome 21:CM030416.1; chromosome 22:CM030417.1; chromosome 23:CM030418.1; chromosome 24:CM030419.1; chromosome 25:CM030420.1; chromosome 26:CM030421.1; chromosome 27:CM030422.1; chromosome 28:CM030423.1; chromosome 29:CM030424.1; chromosome 30:CM030425.1; chromosome 31:CM030426.1; chromosome 32:CM030427.1; chromosome 33:CM030428.1; chromosome 34:CM030429.1; chromosome 35:CM030430.1; chromosome 36:CM030431.1	JAFEUZ01	42	7967	7967	13/4/2021	15/4/2021	Chromosome	Lancaster University	SAMN17294109
Leishmania orientalis	2249476	PRJNA691532	691532	Protists	Kinetoplasts	34.1943	59.7148	GCA_017916335.1	chromosome 1:CM030432.1; chromosome 2:CM030433.1; chromosome 3:CM030434.1; chromosome 4:CM030435.1; chromosome 5:CM030436.1; chromosome 6:CM030437.1; chromosome 7:CM030438.1; chromosome 8:CM030439.1; chromosome 9:CM030440.1; chromosome 10:CM030441.1; chromosome 11:CM030442.1; chromosome 12:CM030443.1; chromosome 13:CM030444.1; chromosome 14:CM030445.1; chromosome 15:CM030446.1; chromosome 16:CM030447.1; chromosome 17:CM030448.1; chromosome 18:CM030449.1; chromosome 19:CM030450.1; chromosome 20:CM030451.1; chromosome 21:CM030452.1; chromosome 22:CM030453.1; chromosome 23:CM030454.1; chromosome 24:CM030455.1; chromosome 25:CM030456.1; chromosome 26:CM030457.1; chromosome 27:CM030458.1; chromosome 28:CM030459.1; chromosome 29:CM030460.1; chromosome 30:CM030461.1; chromosome 31:CM030462.1; chromosome 32:CM030463.1; chromosome 33:CM030464.1; chromosome 34:CM030465.1; chromosome 35:CM030466.1; chromosome 36:CM030467.1	JAFHLR01	98	8158	8158	13/4/2021	15/4/2021	Chromosome	Lancaster University	SAMN17294111
