Species,AltNames,GenoSero-types,Disease_type,Disease_Name,Tax_ID,NCBI_Genbank_ID,Status,Commensal,NNDSS_Notifiable,Reference,Version added
Guanarito mammarenavirus,,,viral,,45219,NC_005082.1 (L); NC_005077.1 (S),is a known pathogen,,,1,1.0.0
Guaroa orthobunyavirus,,,viral,,,,is a known pathogen,,,1,1.0.1
Hantaan orthohantavirus,,,viral,,1980471,NC_005219.1,is a known pathogen,,,1,1.0.0
Heartland banyangvirus,Heartland bandavirus,,viral,,2560519,NC_024495.1 (L); NC_024494.1 (M); NC_024496.1 (S),is a known pathogen,,,1,1.0.0
Hendra henipavirus,Hendra Virus,,viral,,63330,NC_001906.3,is a known pathogen,,,1,1.0.0
Hepacivirus C,Hepatitis C Virus,,viral,Hepatitis C,11103,NC_004102.1 (G1); NC_009823.1 (G2); NC_009824.1 (G3); NC_009825.1 (G4); NC_009826.1 (G5); NC_009827.1 (G6),is a known pathogen (Oncovirus),,Yes,"1,2",1.0.0
Hepatitis B virus,,,viral,,10407,NC_003977.2,is a known pathogen (Oncovirus),,Yes,"1,2",1.0.0
Hepatitis delta virus,,,viral,Hepatitis D,12475,NC_001653.2,is a known pathogen,,Yes,"1,2",1.0.0
Hepatovirus A,,,viral,Hepatitis A,12092,NC_001489.1,is a known pathogen,,Yes,"1,2",1.0.0
Human adenovirus sp.,,,viral,,1907210,,is a known pathogen,,,1,1.0.0
Human alphaherpesvirus 1,Herpes Simplex Virus 1,,viral,Herpes,10298,NC_001806.2,is a known pathogen,,,1,1.0.0
Human alphaherpesvirus 2,Herpes Simplex Virus 2,,viral,Herpes,10310,NC_001798.2,is a known pathogen,,,1,1.0.0
Human alphaherpesvirus 3,Varicella-Zoster Virus,,viral,Chickenpox/Shingles,10335,NC_001348.1,is a known pathogen,,,1,1.0.0
Human astrovirus,,,viral,,1868658,NC_001943.1,is a known pathogen,,,1,1.0.0
Human betaherpesvirus 5,Human Cytomegalovirus,,viral,,10359,NC_006273.2,is a known pathogen (Oncovirus),,,1,1.0.0
Human betaherpesvirus 6,,,viral,,,,is a known pathogen,,,1,1.0.1
Human betaherpesvirus 6A,Human Herpesvirus 6A,,viral,,10368,NC_001664.2,is a known pathogen,,,1,1.0.0
Human betaherpesvirus 6B,Human Herpesvirus 6B,,viral,,10368,NC_000898.1,is a known pathogen,,,,1.0.0
Human betaherpesvirus 7,,,viral,,10372,NC_001716.2,is a known pathogen,,,1,1.0.0
Human bocavirus,,,viral,,,,is a known pathogen,,,1,1.0.1
Human coronavirus 229E,,,viral,,,NC_002645.1,is a known pathogen,,,,1.0.0
Human coronavirus HKU1,,,viral,,,NC_006577.2,is a known pathogen,,,,1.0.0
Human coronavirus NL63,,,viral,,,NC_005831.2,is a known pathogen,,,,1.0.0
Human coronavirus OC43,,,viral,,,KU131570.1,is a known pathogen,,,,1.0.0
Human gammaherpesvirus 4,Epstein Barr Virus,,viral,,10376,NC_009334.1,is a known pathogen (Oncovirus),,,1,1.0.0
Human gammaherpesvirus 8,Kaposi's sarcoma-associated herpesvirus,,viral,,37296,NC_009333.1,is a known pathogen (Oncovirus),,,1,1.0.0
Human immunodeficiency virus,Human immunodeficiency virus 1,,viral,,12721,NC_001802.1,is a known pathogen,,Yes,"1,2",1.0.0
Human mastadenovirus A,,,viral,,,,is a known pathogen,,,1,1.0.1
Human mastadenovirus B,,,viral,,,,is a known pathogen,,,1,1.0.1
Human mastadenovirus C,,,viral,,,,is a known pathogen,,,1,1.0.1
Human mastadenovirus D,,,viral,,,,is a known pathogen,,,1,1.0.1
Human mastadenovirus F,,,viral,,,,is a known pathogen,,,1,1.0.1
Human metapneumovirus,,,viral,,,NC_004148.2,is a known pathogen,,,,1.0.0
Human orthopneumovirus,Respiratory Syncytial Virus,,viral,,11250,NC_001803.1,is a known pathogen,,Yes,"1,2",1.0.0
Human orthorubulavirus 2,,,viral,,,,is a known pathogen,,,1,1.0.1
Human orthorubulavirus 4,,,viral,,,,is a known pathogen,,,1,1.0.1
Human parainfluenzavirus,,,viral,,,,is a known pathogen,,,,1.0.0
Human polyomavirus 1,BK polyomavirus; Betapolyomavirus hominis,,viral,,1891762,,is a known pathogen,,,1,1.0.0
Human polyomavirus 10,MW polyomavirus; Deltapolyomavirus decihominis,,viral,,,,is a known pathogen,,,1,1.0.1
Human polyomavirus 2,John Cunningham virus; JC polyomavirus; Betapolyomavirus secuhominis,,viral,Progressive multifocal leukoencephalopathy,1891763,,is a known pathogen,,,1,1.0.0
Human polyomavirus 3,KI polyomavirus; Betapolyomavirus tertihominis,,viral,,1891764,,is a known pathogen,,,1,1.0.0
Human polyomavirus 4,WU polyomavirus; Betapolyomavirus quartihominis,,viral,,1891765,,is a known pathogen,,,1,1.0.0
Human polyomavirus 5,Merkel Cell Polyomavirus; Alphapolyomavirus quintihominis,,viral,,493803,NC_004108.1 (L); NC_004109.1 (M); NC_004110.1 (S),is a known pathogen (Oncovirus),,,1,1.0.0
Human polyomavirus 8,Trichodysplasia spinulosa polyomavirus,,viral,Trichodysplasia spinulosa,1891727,,has been reported in case reports,,,12,1.0.0
Human respirovirus 1,,,viral,,12730,,is a known pathogen,,,1,1.0.0
Human respirovirus 3,,,viral,,11216,,is a known pathogen,,,1,1.0.0
Human rhinovirus sp.,,,viral,,169066,,is a known pathogen,,,1,1.0.0
Human rubulavirus 2,,,viral,,1979160,,is a known pathogen,,,1,1.0.0
Human rubulavirus 4,,,viral,,1979161,,is a known pathogen,,,1,1.0.0
Human torovirus,,,viral,,67605,,is a known pathogen,,,1,1.0.0
Ilesha orthobunyavirus,,,viral,,,,is a known pathogen,,,1,1.0.1
Ilheus virus,,,viral,,,,is a known pathogen,,,33,1.0.0
Influenza A virus,,,viral,,11320,,is a known pathogen,,,1,1.0.0
Influenza B virus,,,viral,,11520,,is a known pathogen,,Yes,"1,2",1.0.0
Influenza C virus,,,viral,,11552,,is a known pathogen,,Yes,"1,2",1.0.0
Isfahan vesiculovirus,,,viral,,,,is a known pathogen,,,1,1.0.1
Jamestown Canyon orthobunyavirus,Jamestown Canyon virus,,viral,,2560532,,is a known pathogen,,Yes,"1,2",1.0.0
Orthoflavivirus japonicum,Japanese encephalitis virus,,viral,Japanese encephalitis,11072,NC_001437.1,is a known pathogen,,Yes,"1,2",1.0.0
Kyasanur Forest disease virus,Alkhurma hemorrhagic fever virus,,viral,Kyasanur Forest disease,33743,NC_039218.1,is a known pathogen,,Yes,"1,2",1.0.0
La Crosse orthobunyavirus,,,viral,,2560547,GCF_000850965.1,is a known pathogen,,,1,1.0.0
Lagos bat lyssavirus,,,viral,,38766,NC_020807.1,is a known pathogen,,,1,1.0.0
Langat virus,,,viral,,11085,NC_003690.1,is a known pathogen,,,1,1.0.0
Lassa mammarenavirus,,,viral,viral haemorrhagic fever,11620,NC_004297.1 (L Seg); NC_004296.1 (S Seg),is a known pathogen,,Yes,"1,2",1.0.0
Louping ill virus,,,viral,,11086,NC_001809.1,is a known pathogen,,,1,1.0.0
Lujo mammarenavirus,Lujo virus,,viral,Lujo hemorrhagic fever,,,is a known pathogen,,,3,1.0.0
Lymphocytic choriomeningitis mammarenavirus,,,viral,,11623,NC_004291.1 (L); NC_004294.1 (S),is a known pathogen,,,1,1.0.0
Macacine alphaherpesvirus 1,,,viral,,10325,,is a known pathogen,,,1,1.0.0
Machupo mammarenavirus,,,viral,,11628,,is a known pathogen,,,1,1.0.0
Mammalian orthoreovirus,,,viral,,,,is a known pathogen,,,1,1.0.1
Mammalian rubulavirus 5,,,viral,,1979162,,is a known pathogen,,,1,1.0.0
Marburg marburgvirus,,,viral,viral haemorrhagic fever,11269,NC_001608.3,is a known pathogen,,Yes,"1,2",1.0.0
Mayaro virus,,,viral,,59301,NC_003417.1,is a known pathogen,,,1,1.0.0
Measles morbillivirus,,,viral,Measles,11234,NC_001498.1,is a known pathogen,,Yes,"1,2",1.0.0
Middelburg virus,,,viral,,,,is a known pathogen,,,1,1.0.1
Middle East respiratory syndrome-related coronavirus,,,viral,,1335626,NC_019843.3,is a known pathogen,,Yes,"1,2",1.0.0
Mokola lyssavirus,,,viral,,12538,,is a known pathogen,,,1,1.0.0
Molluscum contagiosum virus,,,viral,,10279,NC_001731.1,is a known pathogen,,,1,1.0.0
Monkeypox virus,,,viral,,10244,NC_003310.1,is a known pathogen,,Yes,"1,2",1.0.0
Mucambo virus,,,viral,,,,is a known pathogen,,,1,1.0.1
Mumps rubulavirus,,,viral,Mumps,1979165,NC_002200.1,is a known pathogen,,Yes,"1,2",1.0.0
Mupapillomavirus 1,,,viral,,334203,,is a known pathogen (Oncovirus),,,1,1.0.0
Murray Valley encephalitis virus,,,viral,Murray Valley encephalitis,11079,NC_000943.1,is a known pathogen,,Yes,"1,2",1.0.0
Nairobi sheep disease orthonairovirus,,,viral,,,,is a known pathogen,,,1,1.0.1
Naples phlebovirus,,,viral,,,,is a known pathogen,,,1,1.0.1
New York hantavirus,,,viral,Hantavirus pulmonary syndrome,44755,,is a known pathogen,,,1,1.0.0
Nipah henipavirus,Nipah Virus,,viral,,121791,NC_002728.1,is a known pathogen,,,1,1.0.0
Norwalk virus,Norovirus,GI,viral,Winter vomiting disease,11983,NC_001959.2,is a known pathogen,,,1,1.0.0
Omsk hemorrhagic fever virus,,,viral,Omsk hemorrhagic fever,12542,NC_005062.1,is a known pathogen,,Yes,"1,2",1.0.0
Onyong-nyong virus,,,viral,,2169701,NC_001512.1,is a known pathogen,,,1,1.0.0
Orf virus,,,viral,,10258,,is a known pathogen,,,1,1.0.0
Oropouche orthobunyavirus,Oropouche virus,,viral,Oropouche fever,1933309,,is a known pathogen,,,1,1.0.0
Orthohepevirus A,Hepatitis E Virus,,viral,,1678143,NC_001434.1,is a known pathogen,,Yes,"1,2",1.0.0
Orungo virus,,,viral,,,,is a known pathogen,,,1,1.0.1
Parechovirus A,,,viral,,,,is a known pathogen,,,1,1.0.1
Parechovirus B,,,viral,,,,is a known pathogen,,,1,1.0.1
Pegivirus C,,,viral,,1985356,,is a known pathogen,,,1,1.0.0
Powassan virus,,,viral,,11083,NC_003687.1,is a known pathogen,,,1,1.0.0
Primate erythroparvovirus 1,Parvovirus B19 or Human Bocavirus 2,,viral,,194440,NC_028101.1,is a known pathogen,,,1,1.0.0
Primate T-lymphotropic virus 1,,,viral,,194441,NC_001436.1,is a known pathogen (Oncovirus),,,1,1.0.0
Primate T-lymphotropic virus 2,,,viral,,1511900,NC_001488.1,is a known pathogen (Oncovirus),,,1,1.0.0
Primate erythroparvovirus 1,,,viral,,,,is a known pathogen,,,1,1.0.1
Pseudocowpox virus,,,viral,,,,is a known pathogen,,,1,1.0.1
Punta Toro phlebovirus,Punta Toro virus,,viral,,1933186,NC_027203.1 (L); NC_027201.1 (M); NC_027202.1 (N),is a known pathogen,,,1,1.0.0
Puumala orthohantavirus,,,viral,,1980486,,is a known pathogen,,,1,1.0.0
Rabies lyssavirus,,,viral,Rabies,11292,NC_001542.1,is a known pathogen,,Yes,"1,2",1.0.0
Rhinovirus A,,,viral,,,,is a known pathogen,,,1,1.0.1
Rhinovirus C,,,viral,,,,is a known pathogen,,,1,1.0.1
Rift Valley fever phlebovirus,,,viral,Rift Valley fever,1933187,,is a known pathogen,,  ,1,1.0.0
Rocio virus,,,viral,Rocio viral encephalitis,,,is a known pathogen,,,32,1.0.0
Rosavirus A,,,viral,,1511805,,is a known pathogen,,Yes,"1,2",1.0.0
Ross River virus,,,viral,Ross River Fever,11029,NC_001544.1,is a known pathogen,,Yes,"1,2",1.0.0
Rotavirus A,,,viral,,28875,,is a known pathogen,,Yes,"1,2",1.0.0
Rotavirus B,,,viral,,28876,,is a known pathogen,,Yes,"1,2",1.0.0
Rotavirus C,,,viral,,36427,,is a known pathogen,,Yes,"1,2",1.0.0
Rubella virus,,,viral,Rubella,11041,,is a known pathogen,,Yes,"1,2",1.0.0
Russian Spring-Summer encephalitis virus,,,viral,,,,is a known pathogen,,,1,1.0.1
Saint Louis encephalitis virus,,,viral,St. Louis encephalitis,11080,,is a known pathogen,,,1,1.0.0
Salivirus A,,,viral,,1330524,,is a known pathogen,,,1,1.0.0
Sapporo virus,,,viral,,95342,,is a known pathogen,,,1,1.0.0
Semliki Forest Virus,,,viral,,11033,,is a known pathogen,,,1,1.0.0
Seoul orthohantavirus,,,viral,,1980490,,is a known pathogen,,,1,1.0.0
Severe acute respiratory syndrome-related coronavirus,,,viral,SARS,694009,NC_004718.3,is a known pathogen,,Yes,"1,2",1.0.0
Severe acute respiratory syndrome-related coronavirus 2,,,viral,COVID-19,2697049,NC_045512.2,is a known pathogen,,Yes,"1,2",1.0.0
Sicilian phlebovirus,Sandfly fever Turkey virus,,viral,Sandfly fever,28292,,is a known pathogen,,,1,1.0.0
Sin Nombre orthohantavirus,,,viral,,,,is a known pathogen,,,1,1.0.1
Simian foamy virus,,,viral,,11642,NC_001364.1,is a known pathogen,,,1,1.0.0
Sindbis virus,Ockelbo virus,,viral,Sindbis fever,11034,NC_001547.1,is a known pathogen,,,1,1.0.0
Snowshoe hare orthobunyavirus,,,viral,,2560767,,is a known pathogen,,,1,1.0.0
Spondweni virus,,,viral,,,,is a known pathogen,,,1,1.0.1
Sudan ebolavirus,,,viral,viral haemorrhagic fever,186540,,is a known pathogen,,Yes,"1,2",1.0.0
Tai Forest ebolavirus,,,viral,viral haemorrhagic fever,186541,NC_014372.1,is a known pathogen,,Yes,"1,2",1.0.0
Tanapox virus,,,viral,,99000,,is a known pathogen,,,1,1.0.0
Tick-borne encephalitis virus,,,viral,,11084,NC_001672.1,is a known pathogen,,,1,1.0.0
Tonate virus,,,viral,,,,is a known pathogen,,,1,1.0.1
Torque teno virus,,,viral,,68887,,is a known pathogen,,,1,1.0.0
Toscana phlebovirus,,,viral,,2734478,,is a known pathogen,,,1,1.0.0
Trivittatus orthobunyavirus,,,viral,,2560823,,is a known pathogen,,,1,1.0.0
unidentified human coronavirus,,,viral,,2749936,,is a known pathogen,,,1,1.0.0
Uukuniemi uukuvirus,,,viral,,10245,NC_005221.1,is a known pathogen,,,1,1.0.0
Vaccinia virus,,,viral,,10255,NC_006998.1,is a known pathogen,,,1,1.0.0
Variola virus,,,viral,Smallpox,11036,NC_001611.1,is a known pathogen,,Yes,"1,2",1.0.0
Venezuelan equine encephalitis virus,,,viral,,11276,NC_001449.1,is a known pathogen,,,1,1.0.0
Vesicular stomatitis virus,,,viral,,11082,NC_001560.1,is a known pathogen,,,1,1.0.0
Wesselsbron virus,,,viral,,,,is a known pathogen,,,1,1.0.1
West Nile virus,,,viral,West Nile Fever,11039,NC_001563.2,is a known pathogen,,Yes,"1,2",1.0.0
Western equine encephalitis virus,Western equine encephalomyelitis viru,,viral,,38804,NC_003908.1,is a known pathogen,,,1,1.0.0
Wesselsbron virus,,,viral,,11089,NC_005179.1,is a known pathogen,,,1,1.0.0
Yaba monkey tumor virus,,,viral,,,,is a known pathogen,,,1,1.0.1
Yellow fever virus,,,viral,Yellow Fever,186538,NC_002031.1,is a known pathogen,,Yes,"1,2",1.0.0
Zaire ebolavirus,,,viral,viral haemorrhagic fever,64320,NC_002549.1,is a known pathogen,,Yes,"1,2",1.0.0
Zika virus,,,viral,,694448,NC_012532.1,is a known pathogen,,Yes,"1,2",1.0.0
unidentified human coronavirus,,,viral,,,,is a known pathogen,,,1,1.0.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1. CZ ID,,,,,,,,,,,
2. NNDSS,,,,,,,,,,,
3. CDC,,,,,,,,,,,
4. Olsenella uli https://ann-clinmicrob.biomedcentral.com/articles/10.1186/s12941-022-00499-2,,,,,,,,,,,
5. Lelliottia nimipressuralis https://www.sciencedirect.com/science/article/pii/S0732889321002303,,,,,,,,,,,
6. Serratia marcesans https://www.jcdr.net/article_fulltext.asp?issn=0973-709x&year=2013&volume=7&issue=2&page=243&issn=0973-709x&id=2737,,,,,,,,,,,
7. Citrobacter sp. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3836000/#ref3,,,,,,,,,,,
8. Stenotrophomonas maltophilia https://www.frontiersin.org/articles/10.3389/fmicb.2017.02276/full,,,,,,,,,,,
9. Enterococcus faecium https://aricjournal.biomedcentral.com/articles/10.1186/s13756-020-00770-1,,,,,,,,,,,
10. Enterococcus avium https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9394533/,,,,,,,,,,,
11. Rickettsia honei https://www.health.gov.au/sites/default/files/2022-11/australian-endemic-tick-borne-diseases-flinders-island-spotted-fever_0.pdf,,,,,,,,,,,
12. Trichodysplasia spinulosa polyomavirus https://wwwnc.cdc.gov/eid/article/28/9/22-0856_article,,,,,,,,,,,
13. Klebsiella oxytoca https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5192185/,,,,,,,,,,,
14. Bordetella parapertussis,,,,,,,,,,,
15. Bordetella holmesii https://doi.org/10.1016/j.pathol.2017.10.014,,,,,,,,,,,
16. Bordetella hinzii https://doi.org/10.1016/j.pathol.2022.06.004,,,,,,,,,,,
17. Providencia Rettgeri https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5535354/,,,,,,,,,,,
18. Pythium insidiosum https://www.ncbi.nlm.nih.gov/pmc/articles/PMC516349/,,,,,,,,,,,
19. Neoehrlichia mikurensis https://doi.org/10.1186%2Fs12879-021-06297-z,,,,,,,,,,,
20. Chromoblastomycosis https://www.ncbi.nlm.nih.gov/books/NBK470253/,,,,,,,,,,,
21. Chromobacterium violaceum https://doi.org/10.4103%2F2229-516X.96814,,,,,,,,,,,
22. Bhanja virus https://doi.org/10.1128%2FJVI.02845-12,,,,,,,,,,,
23. Legionella longbeachae https://doi.org/10.3201%2Feid1704.100446,,,,,,,,,,,
24. Legionella feeleii https://doi.org/10.3389%2Ffmicb.2021.707187,,,,,,,,,,,
25. Legionella micdadei https://doi.org/10.1155%2F2015%2F535012,,,,,,,,,,,
26. Legionella anisa https://doi.org/10.1186/s12879-022-07475-3,,,,,,,,,,,
27. Bacteroides fragilis https://doi.org/10.1128%2FCMR.00008-07,,,,,,,,,,,
28. Streptococcus gallolyticus https://doi.org/10.3389%2Ffmicb.2018.00614,,,,,,,,,,,
29. Clostridium ramosum https://doi.org/10.1093/ofid/ofx163.1446,,,,,,,,,,,
30. Staphylococcus lugdunensis https://doi.org/10.1007%2Fs13555-017-0202-5,,,,,,,,,,,
31. Bartonella vinsonii https://doi.org/10.1186/1756-3305-3-29,,,,,,,,,,,
32. Rocio virus https://doi.org/10.3390%2Fv13112293,,,,,,,,,,,
33. Ilheus virus https://doi.org/10.3201%2Feid1803.111486,,,,,,,,,,,
34. Acinetobacter junii https://doi.org/10.1016/j.eucr.2020.101209,,,,,,,,,,,
35. SV40 ,,,,,,,,,,,
36. Gemella haemolysans https://onlinelibrary.wiley.com/doi/10.1002/jgf2.497,,,,,,,,,,,
37. Cardiobacterium hominis https://link.springer.com/article/10.1007/s10096-006-0189-9,,,,,,,,,,,
